guid,name,creation_timestamp,creation_source,spec_description,spec_email,spec_role,spec_team
3059d574-43ea-206e-5769-71d53c6f5074,design_vp_19,2025-04-23T18:42:44.400461,posthog/posthog.com_fork/contents/handbook/company/team,Vp in design team,design_vp_19@posthog.com,Vp,design
37bb371f-3d3b-1f77-5d5d-9e76117f1bf6,design_c_level_20,2025-04-23T18:42:44.400497,posthog/posthog.com_fork/contents/handbook/company/team,C Level in design team,design_c_level_20@posthog.com,C Level,design
0cecdd81-aef3-3483-eefe-de6f644245af,design_specialist_21,2025-04-23T18:42:44.400534,posthog/posthog.com_fork/contents/handbook/company/team,Specialist in design team,design_specialist_21@posthog.com,Specialist,design
354e80e2-4265-35aa-97fe-f40d0b96090b,design_analyst_22,2025-04-23T18:42:44.400570,posthog/posthog.com_fork/contents/handbook/company/team,Analyst in design team,design_analyst_22@posthog.com,Analyst,design
a562857e-f967-c888-1b80-d5c85f0e176c,design_lead_23,2025-04-23T18:42:44.400607,posthog/posthog.com_fork/contents/handbook/company/team,Lead in design team,design_lead_23@posthog.com,Lead,design
a1d8654c-980b-6f85-60d1-a6385aa33fb3,marketing_engineer_24,2025-04-23T18:42:44.400643,posthog/posthog.com_fork/contents/handbook/company/team,Engineer in marketing team,marketing_engineer_24@posthog.com,Engineer,marketing
9fb5fa6f-67da-38f5-db8a-255114a79299,marketing_manager_25,2025-04-23T18:42:44.400680,posthog/posthog.com_fork/contents/handbook/company/team,Manager in marketing team,marketing_manager_25@posthog.com,Manager,marketing
7c7999f4-cb9f-e65a-e013-c8d8868f8135,marketing_director_26,2025-04-23T18:42:44.400717,posthog/posthog.com_fork/contents/handbook/company/team,Director in marketing team,marketing_director_26@posthog.com,Director,marketing
8ae5f198-ad90-5a3c-dafe-05d6e57cd145,marketing_vp_27,2025-04-23T18:42:44.400755,posthog/posthog.com_fork/contents/handbook/company/team,Vp in marketing team,marketing_vp_27@posthog.com,Vp,marketing
5f817c87-d469-4f0b-2e14-308cede1b906,marketing_c_level_28,2025-04-23T18:42:44.400792,posthog/posthog.com_fork/contents/handbook/company/team,C Level in marketing team,marketing_c_level_28@posthog.com,C Level,marketing
a43268b4-27a8-b226-1cf8-395dcccc4796,marketing_specialist_29,2025-04-23T18:42:44.400830,posthog/posthog.com_fork/contents/handbook/company/team,Specialist in marketing team,marketing_specialist_29@posthog.com,Specialist,marketing
01141440-ca54-0f72-2e5a-aa5be61e0cfa,marketing_analyst_30,2025-04-23T18:42:44.400869,posthog/posthog.com_fork/contents/handbook/company/team,Analyst in marketing team,marketing_analyst_30@posthog.com,Analyst,marketing
3217cb59-15be-56c3-796d-2507adc46a82,marketing_lead_31,2025-04-23T18:42:44.400909,posthog/posthog.com_fork/contents/handbook/company/team,Lead in marketing team,marketing_lead_31@posthog.com,Lead,marketing
4ca73cd1-a767-3a47-8077-dfd2bec8a792,sales_engineer_32,2025-04-23T18:42:44.400950,posthog/posthog.com_fork/contents/handbook/company/team,Engineer in sales team,sales_engineer_32@posthog.com,Engineer,sales
9232c35a-086d-08ac-63c6-9e8da1dc9b7b,sales_manager_33,2025-04-23T18:42:44.400991,posthog/posthog.com_fork/contents/handbook/company/team,Manager in sales team,sales_manager_33@posthog.com,Manager,sales
6fa865eb-2fa7-5cb7-d0be-3905b9c1a824,sales_director_34,2025-04-23T18:42:44.401044,posthog/posthog.com_fork/contents/handbook/company/team,Director in sales team,sales_director_34@posthog.com,Director,sales
08b41357-0150-86f0-c141-3bf4d97ad54e,sales_vp_35,2025-04-23T18:42:44.401086,posthog/posthog.com_fork/contents/handbook/company/team,Vp in sales team,sales_vp_35@posthog.com,Vp,sales
1445730a-a52c-ed9b-d460-ec139098ac06,sales_c_level_36,2025-04-23T18:42:44.401128,posthog/posthog.com_fork/contents/handbook/company/team,C Level in sales team,sales_c_level_36@posthog.com,C Level,sales
8927d715-92c0-162b-d390-72e6a3da13c8,sales_specialist_37,2025-04-23T18:42:44.401169,posthog/posthog.com_fork/contents/handbook/company/team,Specialist in sales team,sales_specialist_37@posthog.com,Specialist,sales
4bdec37e-1d6d-b18e-aa68-64bf493e4933,sales_analyst_38,2025-04-23T18:42:44.401211,posthog/posthog.com_fork/contents/handbook/company/team,Analyst in sales team,sales_analyst_38@posthog.com,Analyst,sales
51875333-05a2-8650-d965-efe9857f913d,sales_lead_39,2025-04-23T18:42:44.401254,posthog/posthog.com_fork/contents/handbook/company/team,Lead in sales team,sales_lead_39@posthog.com,Lead,sales
19931e7d-d686-c8fb-7293-9175d27339a8,support_engineer_40,2025-04-23T18:42:44.401296,posthog/posthog.com_fork/contents/handbook/company/team,Engineer in support team,support_engineer_40@posthog.com,Engineer,support
ce7cab67-9fc9-4c63-c9ae-f8e272a1ae2c,support_manager_41,2025-04-23T18:42:44.401337,posthog/posthog.com_fork/contents/handbook/company/team,Manager in support team,support_manager_41@posthog.com,Manager,support
592bf38c-11f7-4c08-2be9-3e49f8f04f03,support_director_42,2025-04-23T18:42:44.401378,posthog/posthog.com_fork/contents/handbook/company/team,Director in support team,support_director_42@posthog.com,Director,support
6c4b4fc5-6895-4d20-57b2-25e848b13498,support_vp_43,2025-04-23T18:42:44.401420,posthog/posthog.com_fork/contents/handbook/company/team,Vp in support team,support_vp_43@posthog.com,Vp,support
85198801-95f2-25c2-8c4f-9d9708d72f03,support_c_level_44,2025-04-23T18:42:44.401461,posthog/posthog.com_fork/contents/handbook/company/team,C Level in support team,support_c_level_44@posthog.com,C Level,support
bfc3177f-3dd8-a60e-035e-af91201a76e0,support_specialist_45,2025-04-23T18:42:44.401502,posthog/posthog.com_fork/contents/handbook/company/team,Specialist in support team,support_specialist_45@posthog.com,Specialist,support
0c3a3c34-46e4-847a-5c05-b4df942e6d0b,support_analyst_46,2025-04-23T18:42:44.401544,posthog/posthog.com_fork/contents/handbook/company/team,Analyst in support team,support_analyst_46@posthog.com,Analyst,support
c2848e36-8f69-b89a-60e0-26b5bfcfa00f,support_lead_47,2025-04-23T18:42:44.401586,posthog/posthog.com_fork/contents/handbook/company/team,Lead in support team,support_lead_47@posthog.com,Lead,support
dfb222ab-326c-73d6-c5fb-d25b734c3fdf,finance_engineer_48,2025-04-23T18:42:44.401628,posthog/posthog.com_fork/contents/handbook/company/team,Engineer in finance team,finance_engineer_48@posthog.com,Engineer,finance
48ca30e6-8c16-09aa-7ad3-b3f89abd336d,finance_manager_49,2025-04-23T18:42:44.401670,posthog/posthog.com_fork/contents/handbook/company/team,Manager in finance team,finance_manager_49@posthog.com,Manager,finance
